Monitor Name,SN_CO,WE_Zero_elec_CO,WE_Zero_total_CO,AUX_Zero_elec_CO,AUX_Zero_total_CO,WE_sens_CO,WE_sens_CO_mv.ppb,sensor
MESA1,162030563,326,401,336,325,606,0.485,MESA1
MESA2,162030557,352,436,349,352,550,0.44,MESA2
MESA3,162030553,347,432,337,344,614,0.483,MESA3
MESA4,162030559,332,422,335,334,589,0.471,MESA4
MESA5,162030519,350,432,336,334,546,0.437,MESA5
MESA6,160230514,358,438,344,344,599,0.479,MESA6
MESA7,162030561,344,430,349,338,616,0.493,MESA7
MESA8,162030529,354,458,354,371,588,0.47,MESA8
MESA9,162030550,346,432,324,328,565,0.452,MESA9
MESA10,162030515,345,427,337,342,580,0.464,MESA10
MESA11,162070544,337,403,341,343,612,0.49,MESA11
MESA12,162030535,342,428,353,354,573,0.458,MESA12
MESA13,162030507,343,420,350,338,610,0.488,MESA13
MESA14,162030543,346,432,340,352,598,0.478,MESA14
MESA15,162030534,346,433,339,340,587,0.47,MESA15
MESA16,162030560,361,432,334,332,590,0.472,MESA16
MESA17,162030554,356,432,338,344,614,0.431,MESA17
MESA18,162030527,346,437,337,355,581,0.465,MESA18
MESA19,162030520,347,427,342,331,531,0.425,MESA19
MESA20,162030541,328,402,336,350,567,0.454,MESA20
MESA21,162030558,351,420,351,356,574,0.459,MESA21
MESA22,162030517,337,418,342,344,505,0.404,MESA22
MESA23,162030530,336,412,342,349,614,0.491,MESA23
MESA24,162030545,334,406,339,340,617,0.494,MESA24
MESA25,162030555,321,389,353,358,631,0.505,MESA25
MESA26,162030532,343,420,349,358,619,0.495,MESA26
MESA27,162030547,330,400,329,337,609,0.487,MESA27
MESA28,162030513,352,418,343,347,566,0.453,MESA28
MESA29,162030521,329,401,343,352,516,0.413,MESA29
MESA30,162030528,325,426,345,341,555,0.444,MESA30
MESA31,162030549,336,412,348,355,603,0.482,MESA31
MESA32,162030556,333,419,346,343,584,0.467,MESA32
MESA33,162030537,343,437,330,331,623,0.448,MESA33
MESA34,162030540,352,445,347,356,602,0.482,MESA34
MESA35,162030525,350,428,350,354,567,0.454,MESA35
MESA36,162030551,334,405,352,357,583,0.446,MESA36
MESA37,162030533,338,422,330,344,552,0.442,MESA37
MESA38,162030548,343,436,337,340,611,0.489,MESA38
MESA39,162030512,329,451,320,326,525,0.42,MESA39
MESA40,162030552,344,434,351,340,566,0.453,MESA40
